country,count,latitude,longitude,pop
Iran,343,32.427908,53.688046,79109272.0
Gaza,6000,31.354676,34.308825,1816e3
Peru,980000,-9.189967,-75.015152,31376670.0
Mexico,58740,23.634501,-102.552784,127017224.0
Uruguay,795500,-32.522779,-55.765835,3431555.0
Rwanda,280313,-1.940278,29.873888,11609666.0
Haiti,15000,18.971187,-72.285215,10711067.0
Afghanistan,6165,33.93911,67.709953,32526562.0
Mongolia,14500,46.862496,103.846656,2959134.0
Nepal,7680,28.394857,84.124008,28513700.0
Ethiopia,6840,9.145,40.489673,99390750.0
Solomon Islands,300,-9.64571,160.156194,583591.0
Cambodia,1000,12.565679,104.990963,15577899.0
Colombia,25316,4.570868,-74.297333,48228704.0
Brazil,2600,-14.235004,-51.92528,207847528.0
Lebanon,450,33.854721,35.862285,5850743.0
Thailand,1000,15.870032,100.992541,67959359.0
India,1000,20.593684,78.96288,1311050527.0
Mozambique,6000,-18.665695,35.529562,27977863.0
Swaziland,500,-26.522503,31.465866,1286970.0
Iraq,9150,33.223191,43.679291,36423395.0
Ghana,300,7.946527,-1.023194,27409893.0
Mali,6135,17.570692,-3.996166,17599694.0
Malaysia,100,4.210484,101.975766,30331007.0
Paraguay,13549,-23.442503,-58.443832,6639123.0
West Bank,3600,31.952162,35.233154,1715e3
Nigeria,6100,9.081999,8.675277,182201962.0
Italy,1500,41.87194,12.56738,59797685.0
Indonesia,100,-0.789275,113.921327,257563815.0
Nicaragua,42000,12.865416,-85.207229,6082032.0
Australia,61668,-25.274398,133.775136,23968973.0
Papua New Guinea,2350,-6.314993,143.95555,7619321.0
Guatemala,217,15.783471,-90.230759,16342897.0
Argentina,65500,-38.416097,-63.616672,43416755.0
China,1000,35.86166,104.195397,1376048943.0
Sri Lanka,1800,7.873054,80.771797,20715010.0
Pakistan,1200,30.375321,69.345116,188924874.0
Kenya,500,-0.023559,37.906193,46050302.0
Uganda,1200,1.373333,32.290275,39032383.0
Federated States of Micronesia,800,7.425554,150.550812,104460.0
Philippines,2360,12.879721,121.774017,100699395.0
Costa Rica,5000,9.748917,-83.753428,4807850.0
Gabon,8100,-0.803689,11.609444,1725292.0
Togo,310,8.619543,0.824782,7304578.0
Honduras,57200,15.199999,-86.241905,8075060.0
El Salvador,200,13.794185,-88.89653,6126583.0
Greece,880,39.074208,21.824312,10954617.0
Fiji,1130,-16.578193,179.414413,892145.0
Dominican Republic,750,18.735693,-70.162651,10528391.0
