label,amt,party,id,amtlabel
William Wirt,4129,Democratic-Republican,9,days
Janet Reno,2871,Democratic,78,NA
Eric Holder,2274,Democratic,82,NA
Homer Stille Cummings,2129,Democratic,55,NA
Charles Lee,1898,Federalist,3,NA
Caesar A. Rodney,1785,Democratic-Republican,6,NA
Herbert Brownell Jr.,1736,Republican,62,NA
Benjamin Butler,1692,Democratic,12,NA
Thomas Watt Gregory,1648,Democratic,49,NA
Edmund Randolph,1583,NA,1,NA
William French Smith,1494,Republican,74,NA
Tom C. Clark,1490,Democratic,59,NA
John Ashcroft,1462,Republican,79,NA
George W. Wickersham,1461,Republican,47,NA
William D. Mitchell,1461,Republican,54,NA
Augustus H. Garland,1459,Democratic,38,NA
Levi Lincoln Sr.,1458,Democratic-Republican,4,NA
Caleb Cushing,1458,Democratic,23,NA
William H. H. Miller,1458,Republican,39,NA
John G. Sargent,1458,Republican,53,NA
Charles Devens,1453,Republican,35,NA
Francis Biddle,1400,Democratic,58,NA
Jeremiah S. Black,1381,Democratic,24,NA
Richard Rush,1371,Federalist,8,NA
Edward Bates,1360,Republican,26,NA
Robert F. Kennedy,1322,Democratic,64,NA
Edwin Meese,1264,Republican,75,NA
George Henry Williams,1228,Republican,32,NA
William P. Rogers,1185,Republican,63,NA
Philander C. Knox,1182,Republican,44,NA
Benjamin H. Brewster,1174,Republican,37,NA
John W. Griggs,1159,Republican,43,NA
Harry M. Daugherty,1129,Republican,51,NA
John N. Mitchell,1121,Republican,67,NA
Dick Thornburgh,1098,Republican,76,NA
J. Howard McGrath,981,Democratic,60,NA
John J. Crittenden,956,Whig,22,NA
Alberto Gonzales,956,Republican,80,NA
Griffin Bell,932,Democratic,72,NA
William H. Moody,899,Republican,45,NA
John M. Berrien,862,Democratic,10,NA
Roger B. Taney,848,Democratic,11,NA
Charles J. Bonaparte,808,Republican,46,NA
William Pinkney,791,Democratic-Republican,7,NA
Richard Olney,762,Republican,40,NA
Edward H. Levi,737,Republican,71,NA
A. Mitchell Palmer,730,Democratic,50,NA
Henry Stanbery,724,Republican,28,NA
Judson Harmon,696,Democratic,41,NA
Ramsey Clark,682,Democratic,66,NA
Nicholas Katzenbach,669,Democratic,65,NA
Hugh Swinton Legaré,655,Democratic,16,NA
Loretta Lynch,634,Democratic,83,NA
Ebenezer R. Hoar,627,Republican,30,NA
John Nelson,612,Whig,17,NA
James Speed,597,Republican,27,NA
John Y. Mason,590,Democratic,18,NA
Robert H. Jackson,585,Democratic,57,NA
William Bradford,573,NA,2,NA
Felix Grundy,554,Democratic,13,NA
James C. McReynolds,542,Democratic,48,NA
Benjamin Civiletti,522,Democratic,73,NA
Nathan Clifford,517,Democratic,19,NA
Reverdy Johnson,500,Whig,21,NA
John Breckinridge,494,Democratic-Republican,5,NA
Richard Kleindienst,465,Republican,68,NA
Michael Mukasey,438,Republican,81,NA
William P. Barr,421,Republican,77,NA
Henry D. Gilpin,418,Democratic,14,NA
Edwards Pierrepont,391,Republican,33,NA
Amos T. Akerman,385,Republican,31,NA
Frank Murphy,381,Democratic,56,NA
William B. Saxbe,375,Republican,70,NA
Harlan F. Stone,328,Republican,52,NA
Joseph McKenna,326,Republican,42,NA
James P. McGranery,291,Democratic,61,NA
Alphonso Taft,286,Republican,34,NA
Wayne MacVeagh,285,Republican,36,NA
Isaac Toucey,256,Democratic,20,NA
William M. Evarts,230,Republican,29,NA
John J. Crittenden,191,Whig,15,NA
Jeff Sessions,166,Republican,84,NA
Elliot Richardson,148,Republican,69,NA
Edwin Stanton,74,Democratic,25,days
